"com.foncannoninc.airhorn"	[[91, 19, 19, 1, 0, 5, -1, -0.6526246837274465]]
"com.foodonthetable.mobile"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.forrestheller.trippingfest.free"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.forshared.music"	[[111, 20, 19, 3, 0, 3, -3, 0.513345637284736]]
"com.forthblue.pool"	[[18, 2, 2, 1, 1, 0, 1, 0.7938687137092808], [6, 1, 1, 1, 0, 0, 0, 0.5462962962962964]]
"com.fourshared"	[[30, 5, 5, 1, 0, 1, 0, -0.5249999999999994]]
"com.freemusic.lite"	[[11, 3, 3, 1, 0, 1, 0, 0.5626787172744325]]
"com.fring"	[[61, 10, 10, 3, 6, 0, 1, 0.5]]
"com.fruitroll.game.top.best.free"	[[19, 4, 4, 1, 1, 0, 0, -0.6637509109995254], [37, 8, 8, 1, 0, 2, 1, 0.614692156334048]]
"com.fsp.android.c"	[[20, 4, 4, 1, 0, 0, -1, 0.6339840835613032]]
"com.fsp.android.h"	[[79, 16, 15, 1, 2, 1, -1, 0.5229154350062706]]
"com.g5e.paranormal"	[[61, 11, 11, 1, 0, 1, -1, -0.7834895286001837]]
"com.g5e.specialenquiry"	[[41, 8, 7, 1, 0, 1, -1, -0.6880443568973276]]
"com.g5e.sstory"	[[10, 2, 2, 1, 1, 0, 1, 0.5441400304414004]]
"com.g5e.standofood3"	[[144, 26, 26, 4, 0, 2, -2, 0.8755622542725824], [73, 17, 17, 1, 0, 1, -1, 0.6686717366189563]]
"com.g5e.virtualcity"	[[42, 9, 9, 1, 0, 0, -1, 0.5010398690072388]]
"com.galapagossoft.trialx2_gl2_demo"	[[20, 3, 3, 1, 0, 0, 0, -0.5242890995260664]]
"com.game.UnicornDash"	[[40, 6, 6, 1, 4, 1, 0, -0.5859631912875994]]
"com.gamecircus.HorseFrenzy"	[[59, 14, 13, 1, 0, 1, -1, 0.6039558951724504]]
"com.gamecircus.PrizeClaw"	[[25, 5, 5, 1, 2, 0, 0, 0.5864899919142841], [52, 6, 6, 2, 2, 1, -2, -0.6982065372488742]]
"com.gameinsight.mycountry"	[[5, 1, 1, 1, 0, 0, 0, 0.5349650349650349]]
"com.gameloft.android.ANMP.GloftAsphalt5free.asphalt5"	[[107, 20, 20, 2, 0, 2, -1, 0.5820292778390205], [45, 11, 11, 1, 0, 0, -1, -0.5291484532213317], [97, 17, 16, 2, 0, 1, -2, -0.7171637942954124]]
"com.gameviewstudios.tapranch"	[[93, 23, 20, 1, 0, 3, -1, 0.5109775198881794]]
"com.gamevil.baseball2011.freemium"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.gamevil.bs2.global"	[[112, 16, 16, 2, 0, 1, 0, -0.8214895189852909]]
"com.gamevisa8.drunk"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.gau.go.launcherex.gowidget.notewidget"	[[50, 8, 8, 1, 0, 1, -1, 0.5048394476154112]]
"com.gau.go.launcherex.gowidget.smswidget"	[[53, 10, 10, 1, 0, 1, 0, 0.6434607833179243]]
